htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
uc1.$b87355	This is Adam, a novel. 	Cheney, Brainard, 1900-1990.	1958-00-00	1	1435494	58012579/L		https://catalog.hathitrust.org/Record/006593477	https://hdl.handle.net/2027/uc1.$b87355
loc.ark:/13960/t3jw8vf6n	Tom Quick ... 	Allerton, James M. [from old catalog]	1888-00-00	1		tmp92008555		https://catalog.hathitrust.org/Record/009575496	https://hdl.handle.net/2027/loc.ark:/13960/t3jw8vf6n
hvd.hn5hs3	Tom Swift and his motor-cycle; or, Fun and adventures on the road / by Victor Appleton. 	Appleton, Victor.	1910-00-00	1	300178	12016331		https://catalog.hathitrust.org/Record/001428003	https://hdl.handle.net/2027/hvd.hn5hs3
uiuc.5069479	Tour of the world in eighty days / by Jules Verne. 	Verne, Jules, 1828-1905.	1892-00-00	1	34622106			https://catalog.hathitrust.org/Record/100827479	https://hdl.handle.net/2027/uiuc.5069479
mdp.39076002606668	Treasures in the depths / by Robert Uhl 	Uhl, Robert.	1955-00-00	1	1401279	55007322		https://catalog.hathitrust.org/Record/009929435	https://hdl.handle.net/2027/mdp.39076002606668
mcg.ark:/13960/t9282003v	The trial of an ox, for killing a man : with the examination of the witnesses, before Judge Lion, at Quadruped Court, near Beast Park. 	Rusher, John Golby, 1784-1877.	1830-00-00	1	317834070			https://catalog.hathitrust.org/Record/100183087	https://hdl.handle.net/2027/mcg.ark:/13960/t9282003v
mdp.39076002660483	Triple spies / by Roy J. Snell. 	Snell, Roy J. 1878-1959.	1920-00-00	1	3194900	20017181		https://catalog.hathitrust.org/Record/009930255	https://hdl.handle.net/2027/mdp.39076002660483
yale.39002030972518	A vagabond journey around the world; a narrative of personal experience, by Harry A. Franck, illustrated with more than one hundred photographs ... 	Franck, Harry Alverson, b. 1881.	1910-00-00	1	1498467	10009121		https://catalog.hathitrust.org/Record/001270986	https://hdl.handle.net/2027/yale.39002030972518
uc1.b5567982	Wee Willie Winkie ; Under the deodars ; The phantom 'rickshaw : and other stories / by Rudyard Kipling. 	Kipling, Rudyard, 1865-1936.	1899-00-00	1	19957418			https://catalog.hathitrust.org/Record/100575123	https://hdl.handle.net/2027/uc1.b5567982
hvd.hwkqfj	Westward ho! or, The voyage and adventures of Sir Amyas Leigh, knight, of Burrough, in the county of Devon, in the reign of Her Most Glorious Majesty Queen Elizabeth, by Charles Kingsley. Pictures by N.C. Wyeth. 	Kingsley, Charles, 1819-1875.	1920-00-00	1	1842819	20018930		https://catalog.hathitrust.org/Record/100545657	https://hdl.handle.net/2027/hvd.hwkqfj
nyp.33433074876982	Westward ho! The voyages and adventures of Sir Amyas Leigh, knight, of Burrough, in the county of Devon, in the reign of her Most Glorious Majesty Queen Elizabeth. Rendered into modern English by Charles Kingsley. 	Kingsley, Charles, 1819-1875.	1855-00-00	1	3401644	15020286		https://catalog.hathitrust.org/Record/000321251	https://hdl.handle.net/2027/nyp.33433074876982
mdp.39076002658016	The White Leader / by Constance Lindsay Skinner ; illustrations by Remington Schuyler. 	Skinner, Constance Lindsay, 1882-1939.	1926-00-00	1	24472772			https://catalog.hathitrust.org/Record/009930165	https://hdl.handle.net/2027/mdp.39076002658016
uiug.30112099756840	Works of Victor Hugo. v.6	Hugo, Victor, 1802-1885.	1864-00-00	1	6901208			https://catalog.hathitrust.org/Record/100198441	https://hdl.handle.net/2027/uiug.30112099756840
umn.319510021067468	Young Joe and other boys / by J.T. Trowbridge ; illustrated. 	Trowbridge, J. T. 1827-1916.	1879-00-00	1	4999911			https://catalog.hathitrust.org/Record/012409975	https://hdl.handle.net/2027/umn.319510021067468
uva.x000376951	Youth, a narrative, and two other stories. 	Conrad, Joseph, 1857-1924.	1903-00-00	1	20971767			https://catalog.hathitrust.org/Record/009782333	https://hdl.handle.net/2027/uva.x000376951
njp.32101064753104	Zenobia, queen of Palmyra; a tale of the Roman empire in the days of the Emperor Aurelian. 	Ware, William, 1797-1852.	1889-00-00	1	9239047	93838259		https://catalog.hathitrust.org/Record/009245212	https://hdl.handle.net/2027/njp.32101064753104
